,Nombre,Edad,Ciudad,Puntuacion,Comentarios
305,Trabajador_01,48,Cali,90,
306,Trabajador_04,41,Bogotá,90,Sin comentarios
307,Trabajador_01,52,,90,A mejorar
308,Trabajador_02,51,Cali,78,Excelente
309,Trabajador_02,20,,85,
310,Trabajador_04,54,Bogotá,92,A mejorar
311,Trabajador_03,57,,85,A mejorar
312,Trabajador_05,43,Barranquilla,85,Excelente
313,Trabajador_04,40,,85,
314,Trabajador_05,56,Medellín,90,A mejorar
315,Trabajador_05,32,Barranquilla,,A mejorar
316,Trabajador_03,21,Cali,90,Buen trabajo
317,Trabajador_05,46,Barranquilla,90,A mejorar
318,Trabajador_05,39,Cali,85,Buen trabajo
319,Trabajador_03,42,Cali,90,
320,Trabajador_05,30,Barranquilla,85,
321,Trabajador_05,35,Cali,,
322,Trabajador_05,50,Cali,92,Sin comentarios
323,Trabajador_04,33,Medellín,85,
324,Trabajador_04,59,,,A mejorar
325,Trabajador_04,19,,92,Excelente
326,Trabajador_03,52,Medellín,78,Buen trabajo
327,Trabajador_02,59,Barranquilla,85,Sin comentarios
328,Trabajador_05,51,Bogotá,85,
329,Trabajador_05,47,Bogotá,78,
330,Trabajador_03,30,Bogotá,78,Excelente
331,Trabajador_05,30,Medellín,85,Excelente
332,Trabajador_04,35,Medellín,78,Sin comentarios
333,Trabajador_02,49,Cali,90,Buen trabajo
334,Trabajador_01,49,Bogotá,,
335,Trabajador_05,52,Barranquilla,92,Sin comentarios
336,Trabajador_04,56,Barranquilla,92,A mejorar
337,Trabajador_01,46,Bogotá,90,A mejorar
338,Trabajador_02,46,Bogotá,78,Sin comentarios
339,Trabajador_01,33,Bogotá,,
340,Trabajador_04,27,Medellín,78,Sin comentarios
341,Trabajador_01,47,Medellín,85,
342,Trabajador_03,42,Medellín,92,Excelente
343,Trabajador_01,56,,78,Sin comentarios
344,Trabajador_05,37,Barranquilla,,
345,Trabajador_05,22,Barranquilla,85,Sin comentarios
346,Trabajador_03,18,Cali,90,Sin comentarios
347,Trabajador_04,47,Medellín,90,
348,Trabajador_05,20,,,
349,Trabajador_02,31,,85,Buen trabajo
350,Trabajador_05,47,Barranquilla,92,Sin comentarios
351,Trabajador_05,,Medellín,78,A mejorar
352,Trabajador_04,35,Cali,85,Sin comentarios
353,Trabajador_01,54,Medellín,90,Sin comentarios
354,Trabajador_05,42,Bogotá,,
355,Trabajador_03,18,Medellín,,Sin comentarios
356,Trabajador_01,32,Bogotá,78,Sin comentarios
357,Trabajador_02,26,Bogotá,,A mejorar
358,Trabajador_04,32,Cali,,
359,Trabajador_02,41,Barranquilla,85,Sin comentarios
360,Trabajador_01,21,,92,Excelente
361,Trabajador_01,29,Bogotá,78,Buen trabajo
362,Trabajador_01,54,Medellín,85,A mejorar
363,Trabajador_02,54,Barranquilla,92,Sin comentarios
364,Trabajador_01,23,Barranquilla,85,Excelente
365,Trabajador_02,56,,85,Sin comentarios
366,Trabajador_01,41,Barranquilla,,Sin comentarios
367,Trabajador_03,28,Cali,92,
368,Trabajador_01,30,Bogotá,78,
369,Trabajador_02,51,,78,
370,Trabajador_05,42,Cali,92,Excelente
371,Trabajador_01,24,Medellín,,Sin comentarios
372,Trabajador_05,21,Bogotá,90,Buen trabajo
373,Trabajador_03,25,Barranquilla,85,A mejorar
374,Trabajador_04,37,Bogotá,,
375,Trabajador_03,46,Medellín,92,
376,Trabajador_01,27,,85,Sin comentarios
377,Trabajador_05,51,,78,Sin comentarios
378,Trabajador_05,43,,90,Excelente
379,Trabajador_02,58,Barranquilla,78,Excelente
380,Trabajador_05,20,Cali,92,
381,Trabajador_02,23,Cali,85,Sin comentarios
382,Trabajador_04,22,Bogotá,92,Buen trabajo
383,Trabajador_01,22,Barranquilla,85,A mejorar
384,Trabajador_02,40,,,Sin comentarios
385,Trabajador_04,26,,90,Sin comentarios
386,Trabajador_05,52,,,Excelente
387,Trabajador_05,37,Medellín,,A mejorar
388,Trabajador_04,59,,92,
389,Trabajador_05,52,,90,Sin comentarios
390,Trabajador_04,35,Barranquilla,85,
391,Trabajador_02,34,Cali,,Sin comentarios
392,Trabajador_02,41,Medellín,78,
393,Trabajador_04,20,Cali,85,A mejorar
394,Trabajador_02,49,Barranquilla,92,Excelente
395,Trabajador_02,52,,,A mejorar
396,Trabajador_02,55,Cali,,Buen trabajo
397,Trabajador_03,30,,,Excelente
398,Trabajador_01,42,,90,A mejorar
399,Trabajador_05,26,Bogotá,85,Buen trabajo
400,Trabajador_03,21,Cali,92,Sin comentarios
401,Trabajador_02,31,Cali,90,Sin comentarios
402,Trabajador_04,54,,78,
403,Trabajador_02,51,Barranquilla,92,Excelente
404,Trabajador_01,28,Bogotá,92,Sin comentarios
405,Trabajador_02,58,,92,Excelente
406,Trabajador_04,20,Medellín,,Sin comentarios
407,Trabajador_01,45,Medellín,92,
408,Trabajador_02,46,Bogotá,85,A mejorar
409,Trabajador_01,26,Barranquilla,92,
410,Trabajador_05,20,,,Buen trabajo
411,Trabajador_05,42,Cali,92,Sin comentarios
412,Trabajador_02,51,Bogotá,78,Buen trabajo
413,Trabajador_01,29,Barranquilla,78,Buen trabajo
414,Trabajador_04,59,Cali,,Excelente
415,Trabajador_02,26,Medellín,85,Sin comentarios
416,Trabajador_05,32,Medellín,85,Buen trabajo
417,Trabajador_05,57,Cali,90,A mejorar
418,Trabajador_02,42,Bogotá,,Buen trabajo
419,Trabajador_01,22,Medellín,92,A mejorar
420,Trabajador_05,28,,,Excelente
421,Trabajador_01,51,Cali,90,Buen trabajo
422,Trabajador_05,41,Cali,,
423,Trabajador_05,32,Medellín,,Excelente
424,Trabajador_03,55,Bogotá,90,A mejorar
425,Trabajador_05,25,,85,Excelente
426,Trabajador_04,22,Bogotá,92,Buen trabajo
427,Trabajador_02,43,Barranquilla,90,Sin comentarios
428,Trabajador_02,35,Barranquilla,78,Sin comentarios
429,Trabajador_01,23,Medellín,85,A mejorar
430,Trabajador_05,54,Medellín,78,A mejorar
431,Trabajador_04,30,Medellín,85,Sin comentarios
432,Trabajador_01,45,Barranquilla,92,A mejorar
433,Trabajador_03,22,Bogotá,92,Excelente
434,Trabajador_01,30,Bogotá,,
435,Trabajador_01,34,Medellín,78,
436,Trabajador_05,57,,85,Excelente
437,Trabajador_03,49,Bogotá,92,
438,Trabajador_01,46,Barranquilla,90,Buen trabajo
439,Trabajador_04,20,Cali,92,Excelente
440,Trabajador_04,57,Cali,90,A mejorar
441,Trabajador_02,51,Cali,85,Excelente
442,Trabajador_03,57,,92,Sin comentarios
443,Trabajador_03,44,Medellín,92,A mejorar
444,Trabajador_02,30,Barranquilla,85,Sin comentarios
445,Trabajador_01,50,,,A mejorar
446,Trabajador_03,23,Barranquilla,90,
447,Trabajador_04,41,Barranquilla,92,Excelente
448,Trabajador_04,36,Medellín,78,Buen trabajo
449,Trabajador_05,33,Cali,,A mejorar
450,Trabajador_03,57,Medellín,90,A mejorar
451,Trabajador_01,45,,78,Sin comentarios
452,Trabajador_02,50,,85,
453,Trabajador_02,58,,90,Sin comentarios
454,Trabajador_01,30,Medellín,,Sin comentarios
455,Trabajador_05,42,Barranquilla,,
456,Trabajador_02,59,Barranquilla,85,Buen trabajo
457,Trabajador_03,53,Bogotá,85,Sin comentarios
458,Trabajador_05,44,,90,Sin comentarios
459,Trabajador_03,55,Barranquilla,92,A mejorar
460,Trabajador_04,24,Bogotá,85,
461,Trabajador_05,22,Barranquilla,92,Excelente
462,Trabajador_02,48,,78,Buen trabajo
463,Trabajador_05,40,Cali,,Buen trabajo
464,Trabajador_05,59,,92,
465,Trabajador_05,27,Medellín,,A mejorar
466,Trabajador_05,49,Barranquilla,92,A mejorar
467,Trabajador_03,47,Barranquilla,78,
468,Trabajador_04,56,Medellín,85,A mejorar
469,Trabajador_01,48,Medellín,78,Buen trabajo
470,Trabajador_05,35,Cali,85,Buen trabajo
471,Trabajador_02,53,Barranquilla,85,Excelente
472,Trabajador_05,19,Barranquilla,,
473,Trabajador_02,31,Cali,78,Sin comentarios
474,Trabajador_03,30,Bogotá,92,Sin comentarios
475,Trabajador_02,46,Cali,78,Excelente
476,Trabajador_01,29,,,Excelente
477,Trabajador_04,56,Barranquilla,85,A mejorar
478,Trabajador_02,19,Medellín,,Excelente
479,Trabajador_02,49,,90,Excelente
480,Trabajador_04,30,Barranquilla,90,Sin comentarios
481,Trabajador_01,44,Cali,92,A mejorar
482,Trabajador_05,58,,,Excelente
483,Trabajador_02,34,Barranquilla,92,Excelente
484,Trabajador_04,57,Bogotá,92,A mejorar
485,Trabajador_03,48,Bogotá,90,
486,Trabajador_04,51,Medellín,92,A mejorar
487,Trabajador_03,41,Barranquilla,90,Sin comentarios
488,Trabajador_01,52,Bogotá,85,
489,Trabajador_05,23,Cali,,Buen trabajo
490,Trabajador_04,36,Barranquilla,92,A mejorar
491,Trabajador_02,47,Cali,90,Sin comentarios
492,Trabajador_01,24,Cali,78,
493,Trabajador_04,27,Bogotá,92,A mejorar
494,Trabajador_02,58,Barranquilla,85,Excelente
495,Trabajador_04,49,,85,A mejorar
496,Trabajador_03,51,Bogotá,78,Buen trabajo
497,Trabajador_04,45,Bogotá,90,A mejorar
498,Trabajador_04,32,Barranquilla,92,
499,Trabajador_04,47,Barranquilla,90,
500,Trabajador_01,54,Cali,85,A mejorar
501,Trabajador_04,46,Barranquilla,,
502,Trabajador_02,39,Cali,85,Excelente
503,Trabajador_03,21,Bogotá,90,A mejorar
504,Trabajador_03,37,Medellín,78,Excelente
505,Trabajador_04,49,,,Excelente
506,Trabajador_01,53,Bogotá,78,Sin comentarios
507,Trabajador_01,21,Barranquilla,78,A mejorar
508,Trabajador_02,44,,,
509,Trabajador_04,34,Medellín,,Excelente
510,Trabajador_03,29,Medellín,92,Sin comentarios
511,Trabajador_01,39,Cali,92,A mejorar
512,Trabajador_04,34,,78,A mejorar
513,Trabajador_01,27,Cali,78,Buen trabajo
514,Trabajador_01,18,Bogotá,85,Buen trabajo
515,Trabajador_03,39,,85,Excelente
516,Trabajador_05,43,Bogotá,92,Buen trabajo
517,Trabajador_02,35,Cali,92,Excelente
518,Trabajador_02,31,,85,
519,Trabajador_03,46,Cali,85,Excelente
520,Trabajador_01,29,,90,Buen trabajo
521,Trabajador_04,53,Cali,90,
522,Trabajador_01,52,Medellín,85,Buen trabajo
523,Trabajador_03,29,Cali,90,Excelente
524,Trabajador_02,24,Medellín,,Sin comentarios
525,Trabajador_01,46,Cali,92,A mejorar
526,Trabajador_02,28,,92,Buen trabajo
527,Trabajador_04,50,,85,Excelente
528,Trabajador_02,23,,78,
529,Trabajador_02,32,Barranquilla,85,Buen trabajo
530,Trabajador_05,49,Bogotá,90,Buen trabajo
531,Trabajador_05,28,,78,A mejorar
532,Trabajador_05,40,Medellín,90,Excelente
533,Trabajador_02,43,,,Sin comentarios
534,Trabajador_03,51,Barranquilla,90,
535,Trabajador_02,51,Medellín,,Excelente
536,Trabajador_03,46,Barranquilla,,
537,Trabajador_03,21,Medellín,90,Buen trabajo
538,Trabajador_05,34,Cali,90,A mejorar
539,Trabajador_01,52,Bogotá,,A mejorar
540,Trabajador_04,30,Bogotá,78,Sin comentarios
541,Trabajador_05,58,Barranquilla,,A mejorar
542,Trabajador_05,56,Bogotá,92,Buen trabajo
543,Trabajador_01,32,Barranquilla,,Sin comentarios
544,Trabajador_04,46,Barranquilla,78,Excelente
545,Trabajador_02,46,Barranquilla,92,A mejorar
546,Trabajador_02,28,Bogotá,85,Sin comentarios
547,Trabajador_05,49,Barranquilla,85,Buen trabajo
548,Trabajador_04,19,Bogotá,78,
549,Trabajador_05,31,,,
550,Trabajador_03,37,,90,Buen trabajo
551,Trabajador_05,39,Barranquilla,78,Buen trabajo
552,Trabajador_05,28,Medellín,92,
553,Trabajador_02,44,Barranquilla,92,Sin comentarios
554,Trabajador_02,20,Cali,85,
555,Trabajador_02,34,Barranquilla,92,Buen trabajo
556,Trabajador_03,45,Medellín,78,A mejorar
557,Trabajador_02,46,Medellín,92,Excelente
558,Trabajador_04,,Bogotá,78,A mejorar
559,Trabajador_01,33,,90,A mejorar
560,Trabajador_04,54,Barranquilla,85,Buen trabajo
561,Trabajador_04,37,Bogotá,92,
562,Trabajador_02,23,,78,Sin comentarios
563,Trabajador_01,36,Barranquilla,,A mejorar
564,Trabajador_01,22,Cali,85,
565,Trabajador_01,20,Barranquilla,90,Sin comentarios
566,Trabajador_03,18,Medellín,78,A mejorar
567,Trabajador_02,55,,90,Sin comentarios
568,Trabajador_01,32,Cali,90,
569,Trabajador_03,51,Bogotá,92,Excelente
570,Trabajador_05,52,,92,
571,Trabajador_05,42,Barranquilla,78,Buen trabajo
572,Trabajador_03,41,Medellín,,Sin comentarios
573,Trabajador_03,29,Bogotá,78,Excelente
574,Trabajador_02,35,Cali,,Sin comentarios
575,Trabajador_02,32,Medellín,90,Sin comentarios
576,Trabajador_05,33,Cali,85,A mejorar
577,Trabajador_01,44,Barranquilla,78,Buen trabajo
578,Trabajador_05,25,,78,Sin comentarios
579,Trabajador_01,42,Medellín,,
580,Trabajador_01,34,Medellín,90,
581,Trabajador_02,46,Barranquilla,,A mejorar
582,Trabajador_04,25,Bogotá,,Buen trabajo
583,Trabajador_04,32,,90,Buen trabajo
584,Trabajador_03,44,Medellín,92,
585,Trabajador_02,24,,85,Excelente
